天皇	74	2.740840023925201	202.82216177046487
琉球	43	4.4148164574968725	189.8371076723655
倭国	35	4.820281565605037	168.7098547961763
日本書紀	24	5.5134287461649825	132.32228990795957
倭	27	4.820281565605037	130.147602271336
列島	45	2.8743714165497236	129.34671374473757
明治	55	2.3353749158170367	128.44562036993702
朝鮮	46	2.6230569882688175	120.6606214603656
沖縄	33	3.316204168828763	109.43473757134917
所蔵	26	4.127134385045092	107.30549401117239
政令指定都市	24	4.4148164574968725	105.95559497992494
大日本	34	2.9484793887034453	100.24829921591714
日本	901	0.11075136429270266	99.7869792277251
都道府県	22	4.4148164574968725	97.1259620649312
九州大学	20	4.820281565605037	96.40563131210074
韓国	57	1.6847873496758872	96.03287893152557
台湾	62	1.5431368326128603	95.67448362199734
神武	17	5.5134287461649825	93.7282886848047
中国	120	0.7772302977704868	93.26763573245842
奄美	22	4.127134385045092	90.79695647099201
